A0A0E3KBH3	2-oxoacid:ferredoxin oxidoreductase subunit beta (OFOR) (EC 1.2.7.11)
Q8DTG5	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
Q9HVR0	5-oxoprolinase subunit A 3 (5-OPase subunit A 3) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A 3)
Q9HVT7	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)
Q9HVT8	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
Q9KPS1	Na(+)-translocating NADH-quinone reductase subunit A (Na(+)-NQR subunit A) (Na(+)-translocating NQR subunit A) (EC 7.2.1.1) (NQR complex subunit A) (NQR-1 subunit A)
Q9PPK3	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)
Q9RHM6	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)
Q9RYA1	Ribosomal RNA large subunit methyltransferase DR_0049 (EC 2.1.1.-) (23S rRNA m5C2499 methyltransferase)
Q9WY59	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)
Q9X0Z9	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
Q9X100	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)
Q9X6G2	Ribosomal RNA small subunit methyltransferase J (EC 2.1.1.242) (16S rRNA m2G1516 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)
A0A0E3KBH3	2-oxoacid:ferredoxin oxidoreductase subunit beta (OFOR) (EC 1.2.7.11)
A0A0H2URG7	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit (EC 2.4.1.-) (Glycosyltransferase GtfA) (O-linked N-acetyl-D-glucosamine (O-GlcNAc) transferase)
A0A0H3JN63	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD (EC 6.3.5.13) (Lipid II isoglutaminyl synthase glutaminase subunit) (EC 3.5.1.2)
A0A0H3JUU7	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT (EC 6.3.5.13)
A0A0P6JG37	Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]
A0A1L4BJ46	Phospholipase A2 hemilipin (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A(2)) [Cleaved into: Phospholipase A2 large subunit; Phospholipase A2 small subunit]
A0A383ZFX3	Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (EC 3.5.1.-) (N-acylsphingosine amidohydrolase) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]
A0A5C2A2T2	Conodipine-P1 (Cdpi-P1) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2) (PLA2) [Cleaved into: Conodipine-P1 alpha subunit; Conodipine-P1 beta subunit]
A0R607	Decaprenylphosphoryl-beta-D-ribose oxidase (EC 1.1.98.3) (Decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase subunit DprE1) (Decaprenyl-phosphoribose 2'-epimerase subunit 1) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-oxidase) (Decaprenylphosphoryl-beta-D-ribose 2-epimerase flavoprotein subunit) (FAD-dependent decaprenylphosphoryl-beta-D-ribofuranose 2-oxidase)
A1C3L9	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit (EC 2.4.1.-) (Glycosyltransferase Gtf1) (Glycosyltransferase GtfA)
A5K464	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanine tRNA-synthetase beta subunit) (FRS) (PheRS) (Phenylalanyl-tRNA synthetase beta subunit)
A5K9S0	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanine tRNA-synthetase alpha subunit) (FRS) (PheRS) (Phenylalanyl-tRNA synthetase alpha subunit)
B8YB56	DNA-directed RNA polymerase subunit Rpo3 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit D)
C0HJL8	Phospholipase A2 nigroviriditoxin basic subunit B (Ngvtx-B) (svPLA2) (EC 3.1.1.4) (Phospholipase A(2))
C0HLF7	Basic phospholipase A2 sphenotoxin subunit B (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)
C6KT50	Pyridoxal 5'-phosphate synthase subunit Pdx1 (PLP synthase subunit Pdx1) (EC 4.3.3.6)
D3DJG4	L-cysteine S-thiosulfotransferase subunit SoxA (EC 2.8.5.2) (Cytochrome c551 subunit diheme) (Protein SoxA1) (SoxAX cytochrome complex subunit A1) (Sulfur oxidizing protein A1) (Thiosulfate-oxidizing multienzyme system protein SoxA1) (TOMES protein SoxA1)
D3DJG5	L-cysteine S-thiosulfotransferase subunit SoxA (EC 2.8.5.2) (Cytochrome c551 subunit diheme) (Protein SoxA2) (SoxAX cytochrome complex subunit A2) (Sulfur oxidizing protein A2) (Thiosulfate-oxidizing multienzyme system protein SoxA2) (TOMES protein SoxA2)
D4GYI2	Anaerobic glycerol-3-phosphate dehydrogenase subunit A1 (G-3-P dehydrogenase A1) (G3PDH A1) (EC 1.1.5.3)
D7A6E5	L-cysteine S-thiosulfotransferase subunit SoxA (EC 2.8.5.2) (Cytochrome c551 subunit monoheme) (Protein SoxA) (SoxAX cytochrome complex subunit A) (Sulfur oxidizing protein A) (Thiosulfate-oxidizing multienzyme system protein SoxA) (TOMES protein SoxA)
D9IA43	Cbb3-type cytochrome c oxidase subunit CcoN1 (EC 7.1.1.9) (Cytochrome CBB3 subunit CcoN1)
D9PUX5	Fumarate reductase (CoM/CoB) subunit B (EC 1.3.4.1) (Thiol:fumarate reductase subunit B)
E3PRJ4	Lysine 5,6-aminomutase beta subunit (5,6-LAM) (EC 5.4.3.3) (D-lysine 5,6-aminomutase beta subunit) (L-beta-lysine 5,6-aminomutase beta subunit)
E3PRJ5	Lysine 5,6-aminomutase alpha subunit (5,6-LAM) (EC 5.4.3.3) (D-lysine 5,6-aminomutase alpha subunit) (L-beta-lysine 5,6-aminomutase alpha subunit)
E7FHC4	Sulfhydrogenase 2 subunit alpha (EC 1.12.1.5) (Hydrogen dehydrogenase (NAD(P)(+))) (Hydrogenase-II subunit alpha) (H-II alpha) (NADP-reducing hydrogenase subunit ShyA) (Sulfhydrogenase II subunit alpha)
E7FHF8	Sulfhydrogenase 2 subunit delta (EC 1.12.1.5) (Hydrogen dehydrogenase (NAD(P)(+))) (Hydrogenase-II subunit delta) (H-II delta) (NADP-reducing hydrogenase subunit ShyD) (Sulfhydrogenase II subunit delta)
E7FHP1	Acetate--CoA ligase [ADP-forming] I subunit beta (EC 6.2.1.13) (ADP-forming acetyl coenzyme A synthetase I subunit beta) (ACS I subunit beta)
E7FHU4	Sulfhydrogenase 1 subunit delta (EC 1.12.1.3) (Hydrogenase I small subunit) (NADP-reducing hydrogenase subunit HydD) (Sulfhydrogenase I subunit delta)
E7FI44	Sulfhydrogenase 1 subunit alpha (EC 1.12.1.3) (Hydrogenase I large subunit) (NADP-reducing hydrogenase subunit HydA) (Sulfhydrogenase I subunit alpha)
E7FI45	Acetate--CoA ligase [ADP-forming] I subunit alpha (EC 6.2.1.13) (ADP-forming acetyl coenzyme A synthetase I subunit alpha) (ACS I subunit alpha)
F1SVH7	F(420)H(2) dehydrogenase subunit B (EC 1.5.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit B) (F(420)H(2)-dependent phenazine oxidoreductase subunit B) (FPO subunit B) (Methanophenazine hydrogenase subunit B) (Methanosarcina-phenazine hydrogenase subunit B)
G1T7U7	N-acylethanolamine-hydrolyzing acid amidase (EC 3.5.1.60) (Acylsphingosine deacylase NAAA) (EC 3.5.1.23) [Cleaved into: N-acylethanolamine-hydrolyzing acid amidase subunit alpha; N-acylethanolamine-hydrolyzing acid amidase subunit beta]
G1UBD1	Particulate methane monooxygenase alpha subunit (EC 1.14.18.3) (Methane monooxygenase B subunit) (Particulate methane monooxygenase 45 kDa subunit) (Particulate methane monooxygenase 47 kDa subunit) (Particulate methane monooxygenase hydroxylase 45 kDa subunit) (Particulate methane monooxygenase hydroxylase alpha subunit) (pMMO-H alpha subunit)
G4MY67	Protein farnesyltransferase subunit beta (FTase-beta) (PFTase beta) (EC 2.5.1.58) (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta)
G4N7S6	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48)
G5EGK8	Serine/threonine-protein phosphatase 2A catalytic subunit (PP2A) (EC 3.1.3.16)
H0VCJ6	N-acylethanolamine-hydrolyzing acid amidase (EC 3.5.1.60) (Acylsphingosine deacylase NAAA) (EC 3.5.1.23) [Cleaved into: N-acylethanolamine-hydrolyzing acid amidase subunit alpha; N-acylethanolamine-hydrolyzing acid amidase subunit beta]
H6LBB1	Lactate dehydrogenase (NAD(+),ferredoxin) subunit LctC (EC 1.1.1.436) (Electron transfer flavoprotein large subunit) (Electron transfer flavoprotein subunit alpha) (EtfA) (Lactate dehydrogenase-Etf complex subunit LctC)
H9L427	Large ribosomal subunit assembly factor BipA (EC 3.6.5.-) (50S ribosomal subunit assembly factor BipA) (GTP-binding protein BipA) (Ribosome-dependent GTPase BipA)
I3R9M8	Respiratory nitrate reductase subunit beta (EC 1.7.5.1) (Nitrate reductase beta chain)
I3VE74	2-hydroxyisobutanoyl-CoA mutase small subunit (EC 5.4.99.64) (2-hydroxyisobutyryl-CoA mutase small subunit) (HCM small subunit)
I3VE77	2-hydroxyisobutanoyl-CoA mutase large subunit (EC 5.4.99.64) (2-hydroxyisobutyryl-CoA mutase large subunit) (HCM large subunit)
I6Y3Q0	Acyl-CoA dehydrogenase FadE27 (ACAD) (EC 1.3.99.-) (3-oxocholest-4-en-26-oyl-CoA dehydrogenase beta subunit)
I6YCA3	Acyl-CoA dehydrogenase FadE26 (ACAD) (EC 1.3.99.-) (3-oxocholest-4-en-26-oyl-CoA dehydrogenase alpha subunit)
M1VMF7	Fructose dehydrogenase large subunit (EC 1.1.5.14) (Fructose dehydrogenase subunit I)
O00743	Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]
O03042	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
O04046	Heterodimeric geranylgeranyl pyrophosphate synthase large subunit 2 (GGPP synthase 2) (GGPS2) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase 2) (Dimethylallyltranstransferase 2) (EC 2.5.1.1) (Farnesyl diphosphate synthase 2) (Farnesyltranstransferase 2) (EC 2.5.1.29) (Geranyltranstransferase 2) (EC 2.5.1.10)
O04951	Serine/threonine-protein phosphatase PP2A-5 catalytic subunit (EC 3.1.3.16) (Protein phosphatase 2A isoform 5)
O04983	Biotin carboxylase, chloroplastic (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)
O13297	mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)
O14098	CTD kinase subunit alpha (CTDK-I subunit alpha) (EC 2.7.11.23) (CTD kinase subunit 1) (Latrunculin sensitive kinase 1)
O14929	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1)
O15460	Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)
O18823	Acyloxyacyl hydrolase (EC 3.1.1.77) [Cleaved into: Acyloxyacyl hydrolase small subunit; Acyloxyacyl hydrolase large subunit]
O19069	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
O22268	Ribosomal RNA small subunit methyltransferase (EC 2.1.1.-) (18S nuclear rRNA (adenine(1785)-N(6)/adenine(1786)-N(6))-dimethyltransferase) (Adenosine dimethyl transferase 1A) (Dimethyladenosine transferase 1A)
O23654	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar H(+)-ATPase subunit A) (Vacuolar proton pump subunit alpha)
O27179	Pyruvate carboxylase subunit B (EC 6.4.1.1) (Pyruvic carboxylase B)
O31041	Propanediol dehydratase medium subunit (EC 4.2.1.28) (Diol dehydratase medium subunit) (DDH medium subunit) (Propanediol utilization protein PduD)
O31042	Propanediol dehydratase small subunit (EC 4.2.1.28) (Diol dehydratase small subunit) (DDH small subunit) (Propanediol utilization protein PduE)
O31718	DNA-directed RNA polymerase subunit epsilon (RNAP epsilon subunit) (EC 2.7.7.6) (DNA-directed RNA polymerase subunit omega 1) (RNA polymerase epsilon subunit) (RNA polymerase omega 1 subunit) (Transcriptase subunit epsilon) (Transcriptase subunit omega 1)
O33434	L-cysteine S-thiosulfotransferase subunit SoxA (EC 2.8.5.2) (Cytochrome c551 subunit diheme) (Protein SoxA) (SoxAX cytochrome complex subunit A) (Sulfur oxidizing protein A) (Thiosulfate-oxidizing multienzyme system protein SoxA) (TOMES protein SoxA)
O34680	Type II methyltransferase M2.BsuMI (M2.BsuMI) (EC 2.1.1.37) (BsuMI modification methylase subunit YdiP) (Cytosine-specific methyltransferase M2.BsuMI)
O34939	Type II methyltransferase M1.BsuMI (M1.BsuMI) (EC 2.1.1.37) (BsuMI modification methylase subunit YdiO) (Cytosine-specific methyltransferase M1.BsuMI)
O35130	Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.-) (18S rRNA (pseudouridine(1248)-N1)-methyltransferase) (18S rRNA Psi1248 methyltransferase) (Nucleolar protein EMG1 homolog) (Protein C2f) (Ribosome biogenesis protein NEP1)
O35263	Platelet-activating factor acetylhydrolase IB subunit alpha1 (EC 3.1.1.47) (PAF acetylhydrolase 29 kDa subunit) (PAF-AH 29 kDa subunit) (PAF-AH subunit gamma) (PAFAH subunit gamma) (Platelet-activating factor acetylhydrolase alpha 1 subunit) (PAF-AH alpha 1)
O35298	Acyloxyacyl hydrolase (EC 3.1.1.77) [Cleaved into: Acyloxyacyl hydrolase small subunit; Acyloxyacyl hydrolase large subunit]
O42773	Serine/threonine-protein phosphatase 2B catalytic subunit A1 (EC 3.1.3.16) (Calcineurin A1)
O42868	RNA polymerase II subunit A C-terminal domain phosphatase ssu72 (CTD phosphatase ssu72) (EC 3.1.3.16) (Suppressor of SUA7 protein 2 homolog)
O43091	Decaprenyl-diphosphate synthase subunit 1 (EC 2.5.1.91) (All-trans-decaprenyl-diphosphate synthase subunit 1) (Decaprenyl pyrophosphate synthase subunit 1)
O43716	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-) (Protein 15E1.2)
O44081	H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (Nucleolar protein at 60B) (Protein minifly)
O52552	3-amino-5-hydroxybenzoate synthase (AHBA synthase) (EC 4.2.1.144) (Putative UDP-kanosamine synthase aminotransferase subunit) (EC 2.6.1.-)
O52681	Bifurcating [FeFe] hydrogenase gamma subunit (EC 1.12.1.4) (Hydrogenase (NAD(+), ferredoxin) gamma subunit) (Iron-hydrogenase gamma subunit)
O53181	2-oxoglutarate oxidoreductase subunit KorB (EC 1.2.7.3) (Alpha-ketoglutarate oxidoreductase subunit beta) (KG oxidoreductase subunit beta) (KGO subunit beta) (KOR subunit beta)
O54748	Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)]
O54833	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)
O60052	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha)
O60762	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1)
O60832	H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)
O64817	Casein kinase II subunit alpha-3 (CK II) (EC 2.7.11.1)
O70152	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase)
O75251	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (EC 7.1.1.2) (Complex I-20kD) (CI-20kD) (NADH-ubiquinone oxidoreductase 20 kDa subunit) (PSST subunit)
O75306	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)
O75489	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)
O75879	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-) (Cytochrome c oxidase assembly factor PET112 homolog)
O76932	Serine/threonine-protein phosphatase 4 catalytic subunit (PP4C) (EC 3.1.3.16)
O77460	Inorganic pyrophosphatase (EC 3.6.1.1) (Nucleosome-remodeling factor 38 kDa subunit) (Pyrophosphate phospho-hydrolase) (PPase)
O78749	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)
O78750	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)
O80448	Pyridoxal 5'-phosphate synthase subunit PDX1.1 (AtPDX1.1) (AtPDX1;2) (PLP synthase subunit PDX1.1) (EC 4.3.3.6) (HEVER-like protein)
O80642	Geranylgeranyl transferase type-1 subunit beta (EC 2.5.1.59) (Geranylgeranyl transferase type I subunit beta) (AtGGT-IB) (GGTase-I-beta)
O82663	Succinate dehydrogenase [ubiquinone] flavoprotein subunit 1, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit 1 of complex II) (FP)
O85040	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39) (Form 1 RuBisCO)
O85673	Anthranilate 1,2-dioxygenase large subunit (EC 1.14.12.1)
O88455	7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Cholesterol-5,6-epoxide hydrolase subunit DHCR7) (EC 3.3.2.11) (Sterol Delta(7)-reductase)
O88483	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Protein phosphatase 2C) (Pyruvate dehydrogenase phosphatase catalytic subunit 1) (PDPC 1)
O88484	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (PDP 2) (EC 3.1.3.43) (Pyruvate dehydrogenase phosphatase catalytic subunit 2) (PDPC 2)
O94395	ATP-dependent DNA helicase II subunit 1 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku70)
O95922	Polyglutamylase complex subunit TTLL1 (EC 6.3.2.-) (Tubulin polyglutamylase TTLL1) (Tubulin polyglutamylase complex subunit 3) (PGs3) (Tubulin--tyrosine ligase-like protein 1)
O96007	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MOCO1-B) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B) (Molybdopterin-synthase large subunit) (MPT synthase large subunit)
P00125	Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)
P00163	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)
P00325	All-trans-retinol dehydrogenase [NAD(+)] ADH1B (EC 1.1.1.105) (Alcohol dehydrogenase 1B) (Alcohol dehydrogenase subunit beta)
P00326	Alcohol dehydrogenase 1C (EC 1.1.1.1) (Alcohol dehydrogenase subunit gamma)
P00329	Alcohol dehydrogenase 1 (EC 1.1.1.1) (ADH-A2) (Alcohol dehydrogenase A subunit)
P00338	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)
P00339	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)
P00342	L-lactate dehydrogenase C chain (LDH-C) (EC 1.1.1.27) (LDH testis subunit) (LDH-X)
P00363	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)
P00395	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)
P00397	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)
P00401	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)
P00403	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)
P00405	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)
P00410	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)
P00414	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)
P00416	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)
P00420	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)
P00517	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)
P00518	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1, EC 2.7.11.26)
P00829	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)
P00830	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)
P00875	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
P00877	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
P00879	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
P00893	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)
P00894	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)
